,"en","fr"
"language_sentence","The texts will be displayed to you in","Les textes vous seront affichés en"
"exit","Exit game...","Quitter le jeu..."
"sounds_in_space_title", "Sounds in space?","Des sons dans l'espace ?"
"sounds_in_space_text","Vibrations of matter, particles, sound propagates in the air, in water, in any medium capable of vibrating, it makes us dance, shiver, cry, smile.\n\nThe vacuum of space is inhabited by a low density of particles, which by their tendency to be electrically charged interact with each other, vibrate. Space songs which cannot be heard directly by our ears, but can be heard by the sensitive instruments of the probes sailing in and sometimes outside our stellar system.\n\nThe sonification process of the collected data allows us to hear the stars, the planets, their magnetic field, the ionizing radiations, the sources and sinks of particles. Space is not silent.","Vibrations de la matière, des particules, le son se propage dans  l'air, dans l'eau, dans tout milieu capable de vibrer, il nous fait danser, frissonner, pleurer, sourire.\n\nLe vide de l'espace est habité par une faible densité de particules, qui par leur tendance à être électriquement chargées interagissent entre elles, vibrent. Des chants spatiaux qui ne peuvent être directement entendus par nos oreilles, mais peuvent bel et bien l'être par les instruments sensibles des sondes voguant dans et parfois hors de notre système stellaire.\n\nLe procédé de sonification des données récoltées nous permet d'entendre les étoiles, les planètes, leur champ magnétique, les rayonnements ionisants, les sources et puits de particules. L'espace n'est pas silencieux."
"earth_title","Earth","Terre"
"earth_text","Of variable size, fluctuating with the mood of the sun, the Van Allen belts are the result of a hellish encounter between the Earth's magnetic field and the solar winds. Green, pink, red or indigo, the auroras are the result of these charged particles crashing into the atmosphere of our little pale blue dot.\n\nTwo small probes came to taste this shambles of particles, having for taste buds three orthogonal antennae. What you hear here is the hiss of lightning signals, traveling along field lines near the magnetic poles.","De taille variable, fluctuant au grès de l'humeur du soleil, les ceintures de Van Allen sont le résultat d'une rencontre infernale entre le champ magnétique de la Terre et les vents solaires. Vert, rose, rouge ou indigo, les aurores polaires sont le résultat de ces particules chargées venant s'écraser dans l’atmosphère de notre petit point bleu pâle.\n\nDeux petites sondes vinrent goûter à ce capharnaüm de particules, ayant pour papilles trois antennes orthogonales. Ce que vous goûtez ici est le chant sifflant de signaux émis par des éclairs, remontant le long des lignes de champ non loin des pôles magnétiques."
"mars_title","Mars","Mars"
"mars_text","Mountains, canyons, plains and volcanoes mades the cold desert of Mars. It is not far from an old river delta from which water probably once flowed that the Perseverance probe put its feet, or rather its wheels.\n\nIt was upon awakening from its journey from Earth that the rover first heard the winds of Mars. Deafened by a protective cover, by the low density of the atmosphere and by its composition, which is mostly carbon dioxide, the probe's first senses are awakened. Ready to scour Jezero Crater and beyond, in search of past life.","Montagnes, canyons, plaines et volcans arborés par le désert froid de Mars. C'est non loin d'un ancien delta fluvial d'où coulait probablement autrefois de l'eau, que la sonde Perseverance posa ses pieds, ou plutôt ses roues.\n\nC'est au réveil de son voyage depuis la Terre que le rover eu entendu, pour la première fois, les vents de Mars. Assourdie par un cache de protection, par la faible densité de l'atmosphère et par sa composition en majorité de dioxyde de carbone, les premiers sens de la sonde se réveillent. Prête à parcourir le cratère Jezero et au-delà, à la recherche de vie passée."
"venus_title","Venus","Venus"
"venus_text","On its way to our star, the Parker Solar Probe, helped by the gravitational assistance of Venus, falls towards the sun to taste the solar corona, better understand its structure, better understand the solar winds.\n\nIt was during a visit of the planet having the most scorching, dense and toxic atmosphere that the space probe recorded what you are hearing here. Radio emissions from the charged upper atmosphere of Venus. An evolving ionosphere, which changes with the cycles of the sun's activity.","Dans son chemin pour notre étoile, la sonde Parker Solar Probe, aidée par assistance gravitationnelle de Vénus, tombe vers le soleil pour goûter à la couronne solaire, mieux comprendre sa structure, mieux comprendre les vents solaires.\n\nC'est lors d'une des visites de la planète à l’atmosphère la plus brûlante, écrasante et toxique que la sonde enregistra ce que vous entendez ici. Des émissions radio issues de la haute atmosphère chargée de Vénus. Une ionosphère qui évolue, qui change au gré de cycles d'activité du soleil."
"sun_title","Sun","Soleil"
"sun_text","Flow of matter, turbulences, roars, it's to discover the secrets hidden in the light of the sun that the SOHO probe watches and listens to the beating of the heart of our stellar system.\n\nThe sound that you hear comes from about forty hours of visual data, converted to sound and compressed into just over a minute. It's with your ears that you see here the minute details of the light emitted by our star which allow you to probe its interior.","Flux de matière, turbulences, vrombissements, c’est pour découvrir les secrets cachés dans la lumière du soleil que la sonde SOHO regarde et écoute les battements du cœur de notre système stellaire.\n\nLe son que vous entendez ici est issu d’une quarantaine d’heures de données visuelles, sonorisées et compressés en à peine plus d’une minute. C’est avec vos oreilles que vous voyez ici les infimes détails de la lumière émise par notre étoile qui permettent d’en sonder l’intérieur."
"jupiter_title","Jupiter","Jupiter"
"jupiter_text","","Frôlant l’atmosphère jupitérienne au plus bas de son orbite polaire excentrée, la sonde Juno a pour but la découverte de ce qui se cache sous les épais nuages de Jupiter. Pour ainsi comprendre la formation et l'évolution de celle-ci et par extension, de notre système solaire.\n\nLe son que vous entendez ici est issu de la détection d’ondes de plasma, des particules chargées voyageant sur les voies du champ magnétique à la taille démesurée de la géante gazeuse. La taille de celui-ci tient probablement son origine de l'hydrogène au sein de Jupiter qui, sous une énorme pression, devient électriquement conducteur, de l’hydrogène métallique. Le signal a été ralenti d'un facteur soixante pour être audible à nos oreilles humaines."
"saturn_title","Saturn","Saturne"
"saturn_text","","La surface chargée d’Hypérion, les geysers d’Encelade, les rivières de méthane de Titan, les anneaux ou la magnétosphère, autour de Saturne, rien n’échappe à la curiosité de la sonde Cassini et de sa petite sœur Huygens.\n\nLes ondes que vous entendez ici ne sont pas l’œuvre d’une créature agonisante mais d’un somptueux mélange issu de multiples sources radio. Ondes transportées par le champ magnétique de Saturne, ondes entendues par la sonde, ondes écoutées. Inaccessible par nos sens à l’état brut, cette musique cosmique a été accélérée vingt-deux fois tandis que sa fréquence s’est vue diminuer d’un facteur quarante-quatre.\n\nC’est après vingt ans de mission que Cassini fini sa course dans un océan de gaz, un plongeon final dans l’atmosphère de Saturne. Protégeant ainsi les potentielles formes de vie du système saturnien et nous offrant l’occasion d’en apprendre plus sur les champs magnétiques et gravitationnels ainsi que la composition de de la géante aux anneaux."
"edasich_title","Edasich","Edasich"
"edasich_text","","Les étoiles du ciel ne sont pas silencieuses, elles nous parlent d’elles, de leur structure interne, de leur masse, de leur taille. Par moment même, sur d’instants passagers, nous laissent entrevoir les planètes qui les accompagne dans leur voyage.\n\nC’est par l’étude de la variation de leur luminosité que nous pouvons reconstituer, visualiser et imaginer ces systèmes stellaires lointains, parfois similaires au nôtre, parfois emplis d’étrangetés, de super-terres, de Jupiter chaudes.\n\nCe que vous entendez là sont les variations lumineuses d’Edasich, une étoile douze fois plus grosse que notre Soleil et dont les fréquences d’oscillation ont été accéléré trois millions de fois."
